student_id,date,week,subject,score_percent,attendance,homework_completed
S001,2025-09-08,1,English,60,1,0
S001,2025-09-08,1,Mathematics,58,1,1
S001,2025-09-08,1,Biology,73,1,1
S002,2025-09-08,1,English,44,1,1
S002,2025-09-08,1,Mathematics,57,1,0
S002,2025-09-08,1,Biology,42,1,1
S003,2025-09-08,1,English,79,1,1
S003,2025-09-08,1,Mathematics,80,1,1
S003,2025-09-08,1,Biology,73,1,1
S004,2025-09-08,1,English,79,1,1
S004,2025-09-08,1,Mathematics,96,1,1
S004,2025-09-08,1,Biology,85,1,1
S005,2025-09-08,1,English,68,1,1
S005,2025-09-08,1,Mathematics,38,1,0
S005,2025-09-08,1,Biology,58,1,1
S006,2025-09-08,1,English,64,1,1
S006,2025-09-08,1,Mathematics,68,1,1
S006,2025-09-08,1,Biology,83,1,1
S007,2025-09-08,1,English,74,1,1
S007,2025-09-08,1,Mathematics,78,1,0
S007,2025-09-08,1,Biology,75,1,0
S008,2025-09-08,1,English,87,1,1
S008,2025-09-08,1,Mathematics,64,1,1
S008,2025-09-08,1,Biology,63,1,1
S009,2025-09-08,1,English,59,1,1
S009,2025-09-08,1,Mathematics,73,1,1
S009,2025-09-08,1,Biology,72,1,1
S010,2025-09-08,1,English,53,1,1
S010,2025-09-08,1,Mathematics,55,1,1
S010,2025-09-08,1,Biology,58,1,1
S011,2025-09-08,1,English,57,1,1
S011,2025-09-08,1,Mathematics,53,1,0
S011,2025-09-08,1,Biology,56,1,1
S012,2025-09-08,1,English,69,1,1
S012,2025-09-08,1,Mathematics,75,1,1
S012,2025-09-08,1,Biology,59,1,1
S013,2025-09-08,1,English,77,1,1
S013,2025-09-08,1,Mathematics,86,1,1
S013,2025-09-08,1,Biology,84,1,1
S014,2025-09-08,1,English,36,1,1
S014,2025-09-08,1,Mathematics,42,1,1
S014,2025-09-08,1,Biology,52,1,1
S015,2025-09-08,1,English,60,1,1
S015,2025-09-08,1,Mathematics,67,1,1
S015,2025-09-08,1,Biology,77,1,1
S016,2025-09-08,1,English,60,1,1
S016,2025-09-08,1,Mathematics,73,1,1
S016,2025-09-08,1,Biology,64,1,1
S017,2025-09-08,1,English,79,1,1
S017,2025-09-08,1,Mathematics,73,1,1
S017,2025-09-08,1,Biology,89,1,1
S018,2025-09-08,1,English,70,1,1
S018,2025-09-08,1,Mathematics,46,1,1
S018,2025-09-08,1,Biology,63,1,1
S019,2025-09-08,1,English,70,1,1
S019,2025-09-08,1,Mathematics,64,1,1
S019,2025-09-08,1,Biology,71,1,1
S020,2025-09-08,1,English,86,1,1
S020,2025-09-08,1,Mathematics,78,1,1
S020,2025-09-08,1,Biology,76,1,1
S021,2025-09-08,1,English,94,1,1
S021,2025-09-08,1,Mathematics,75,1,1
S021,2025-09-08,1,Biology,96,1,1
S022,2025-09-08,1,English,68,1,1
S022,2025-09-08,1,Mathematics,67,1,1
S022,2025-09-08,1,Biology,91,1,1
S023,2025-09-08,1,English,54,1,1
S023,2025-09-08,1,Mathematics,57,1,1
S023,2025-09-08,1,Biology,66,1,1
S024,2025-09-08,1,English,86,1,0
S024,2025-09-08,1,Mathematics,79,1,1
S024,2025-09-08,1,Biology,79,1,1
S025,2025-09-08,1,English,58,1,0
S025,2025-09-08,1,Mathematics,75,1,1
S025,2025-09-08,1,Biology,80,1,1
S026,2025-09-08,1,English,88,1,1
S026,2025-09-08,1,Mathematics,78,1,0
S026,2025-09-08,1,Biology,64,1,1
S027,2025-09-08,1,English,75,1,1
S027,2025-09-08,1,Mathematics,78,1,1
S027,2025-09-08,1,Biology,83,1,1
S028,2025-09-08,1,English,67,1,1
S028,2025-09-08,1,Mathematics,75,1,1
S028,2025-09-08,1,Biology,58,1,1
S029,2025-09-08,1,English,76,1,1
S029,2025-09-08,1,Mathematics,66,1,0
S029,2025-09-08,1,Biology,73,1,1
S030,2025-09-08,1,English,41,1,0
S030,2025-09-08,1,Mathematics,38,1,0
S030,2025-09-08,1,Biology,55,1,1
S031,2025-09-08,1,English,64,1,1
S031,2025-09-08,1,Mathematics,57,1,1
S031,2025-09-08,1,Biology,70,1,1
S032,2025-09-08,1,English,69,1,1
S032,2025-09-08,1,Mathematics,65,1,1
S032,2025-09-08,1,Biology,62,1,1
S033,2025-09-08,1,English,69,1,1
S033,2025-09-08,1,Mathematics,77,1,1
S033,2025-09-08,1,Biology,92,1,1
S034,2025-09-08,1,English,58,1,1
S034,2025-09-08,1,Mathematics,62,1,1
